,Statute,OffenseDescription,OffenseDescription2,OffenseType
0,-303-A,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
1,.20-5/12-2-C-1,Aggravated assault,Assault/aggravated assault,Person offense
2,.25-5/6-303-A,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
3,(1)B100634-FH,Warrant,Warrant,FTA/Warrant
4,(1)D141759-FH,Warrant,Warrant,FTA/Warrant
5,(11-1)12-211,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6,(11-1)3-707,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
7,(18-1 11-709,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
8,(18-1) 11-709,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
9,(18-1) 3-413-B,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
10,(18-1) 3-413(F),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
11,(18-1) 3707,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
12,(18-1)11-1204(B),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
13,(18-1)11-305(B),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
14,(18-1)11-601-B,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
15,(18-1)11-601(A),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
16,(18-1)11-601(B),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
17,(18-1)11-706,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
18,(18-1)11-708,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
19,(18-1)11-801,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
20,(18-1)11-804-A,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
21,(18-1)11-804(A),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
22,(18-1)11-906,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
23,(18-1)12-201-C,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
24,(18-1)12-201(B),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
25,(18-1)12-503-C,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
26,(18-1)3-707,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
27,(18-1)5-3-707,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
28,(18-1)5.0//11-601-B,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
29,(18-1)5.0/6-303,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
30,(18-1)5/3-413B,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
31,(18-1)5/6-101,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
32,(18-1)6-101,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
33,(18-105)11-1204(B),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
34,(18-4)3-413(F),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
35,(720-5/8-4)720 ILCS 5.0/9-1-A-1,Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
36,(720-5/8-4)720-5/18-1(A),Attempt robbery,Robbery/aggravated robbery,Person offense
37,(720-5/8-4)720-5/19-1(A),Burglary,Burglary,Propert offense
38,(8-4 )720-5/9-1-A-1,Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
39,(8-4) 720 ILCS 5.0/9-1-A-1,Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
40,(8-4)720 ILCS 5.0/9-1-A-1,Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
41,(8-4)720 ILCS 5/9-1(A)(1),Attempted first degree murder,"Attempt, conspiracy, solicitation murder",Person offense
42,(8-4)720-5/11-1.60(C)(1)(I),Attempt aggravated criminal sexual abuse,Criminal sexual abuse/aggravated criminal sexual abuse,Person offense
43,(8-4)720-5/16-25-A-1,Retail theft,Retail theft,Propert offense
44,(8-4)720-5/21-3-A-2,Criminal trespass to vehicles,Vehicular invasion/trespass to vehicle,Propert offense
45,(TR) 11-501(A)(1),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
46,/8.105 11-601(B),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
47,0-0 POSS FIREARMS AND AMMUNITION,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
48,0-5/24-1.6(A)(1),Aggravated unlawful use of a weapon,Aggravated unlawful use of a weapon,Weapon offense
49,000000,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
50,0002747263,Warrant,Warrant,FTA/Warrant
51,0014721,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
52,0017785,Unlawful use of a weapon by a felon,Unlawful use of a weapon by a felon,Weapon offense
53,004-5/4-104-A-4,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
54,00722853,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
55,00722854,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
56,00722855,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
57,00724393,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
58,01-714.2(2)-THEFT 2ND DEGREE,Warrant,Warrant,FTA/Warrant
59,01/01/1900,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
60,01311 AGCR118430,Warrant,Warrant,FTA/Warrant
61,016-110-1.18,Other offense,Other public order offense,Public order offense
62,016-110-1.30,Other offense,Other public order offense,Public order offense
63,0179905,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
64,02,Manufacture/delivery of a controlled substance,Manufacture/delivery of cannabis/controlled substance,Drug offense
65,020-5/12-3.2-A-1,Domestic battery,Domestic battery/aggravated domestic battery,Person offense
66,020-5/16-1-A-3,Theft,Theft,Propert offense
67,020-5/26-1-A-1,Disorderly conduct,Disorderly conduct,Public order offense
68,020-550/4(C),Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
69,020-550/5.2(D),Manufacture/delivery of cannabis,Manufacture/delivery of cannabis/controlled substance,Drug offense
70,0211900,Fraud,Bribery/fraud/official misconduct/money laundering/racketeering,Public order offense
71,0235 5 6-20(E),Consumption of alcohol by a minor,Other public order offense,Public order offense
72,025-5/11-204,Fleeing or eluding a peace officer,Fleeing or eluding police,DUI/vehicle offense
73,025-5/6-303,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
74,025/5110-SAE,Violation of bail bond,Other public order offense,Public order offense
75,02D05-1405-FC-000130,Warrant,Warrant,FTA/Warrant
76,0303,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
77,0358,Other offense,Other public order offense,Public order offense
78,04201812-3-A-2,Battery,Battery/aggravated battery/henious battery,Person offense
79,05 201 CF040349-A,Warrant,Warrant,FTA/Warrant
80,05/8-4 14B(B)(1),Unlawful use of or possession of fraudulent ID,Unlawful use of or possession of fraudulent ID,Public order offense
81,0560,Assault,Assault/aggravated assault,Person offense
82,0625 11-709(A),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
83,0625 5,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
84,0625-5/3-707,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
85,0625-5/6-303(D),Driving on suspended license,Driving on a suspended license,DUI/vehicle offense
86,06571 FECR129466,Warrant,Warrant,FTA/Warrant
87,06D01-1510-F6-0160,Warrant,Warrant,FTA/Warrant
88,06D02-1808-F6-001620,Warrant,Warrant,FTA/Warrant
89,06FECR117354,Warrant,Warrant,FTA/Warrant
90,0720 5/12-1-A,Warrant,Warrant,FTA/Warrant
91,0720 5/26-5-2-A2,Harassment,Perjury/communicating or harrassing witnesses/contempt,Public order offense
92,0720-5/12-3-2-A-2,Domestic battery,Domestic battery/aggravated domestic battery,Person offense
93,0720-5/12-3.2A1,Domestic battery,Domestic battery/aggravated domestic battery,Person offense
94,0725 225/13,Warrant,Warrant,FTA/Warrant
95,0725-5/110-S A&E,Violation of bail bond,Other public order offense,Public order offense
96,0730 5/5-8A-4.1A,Escape,Escape/aiding escape,Public order offense
97,08-4-030,Consuming alcohol in public,Other public order offense,Public order offense
98,08-4-030(B),Consuming alcohol in public,Other public order offense,Public order offense
99,08201912-1-A,Assault,Assault/aggravated assault,Person offense
100,08291 AGIN022384,Warrant,Warrant,FTA/Warrant
